,location,bath,price,bhk,area_sqft
84,7th Phase JP Nagar,2,82.0,2,1175.0
85,7th Phase JP Nagar,2,95.0,3,1400.0
86,7th Phase JP Nagar,3,160.0,3,2225.0
87,7th Phase JP Nagar,2,71.0,2,1050.0
88,7th Phase JP Nagar,2,46.0,2,1100.0
89,7th Phase JP Nagar,2,50.49,2,918.0
90,7th Phase JP Nagar,2,100.0,3,1450.0
91,7th Phase JP Nagar,2,49.98,2,1190.0
92,7th Phase JP Nagar,2,96.0,3,1420.0
93,7th Phase JP Nagar,3,120.0,3,1680.0
94,7th Phase JP Nagar,2,69.0,2,980.0
95,7th Phase JP Nagar,2,72.0,2,1180.0
96,7th Phase JP Nagar,3,115.0,3,1400.0
97,7th Phase JP Nagar,2,83.0,2,1270.0
98,7th Phase JP Nagar,4,188.0,4,2503.0
99,7th Phase JP Nagar,3,190.0,3,2200.0
100,7th Phase JP Nagar,2,110.0,3,1575.0
101,7th Phase JP Nagar,3,140.0,3,1850.0
102,7th Phase JP Nagar,2,120.0,3,1575.0
103,7th Phase JP Nagar,3,150.0,3,1850.0
104,7th Phase JP Nagar,3,120.0,3,1680.0
105,7th Phase JP Nagar,2,82.5,2,1175.0
106,7th Phase JP Nagar,2,90.0,2,1215.0
107,7th Phase JP Nagar,2,75.0,2,1050.0
108,7th Phase JP Nagar,3,89.13,3,1300.0
109,7th Phase JP Nagar,2,73.0,2,1130.0
110,7th Phase JP Nagar,3,100.0,3,1450.0
111,7th Phase JP Nagar,2,50.0,2,1050.0
112,7th Phase JP Nagar,2,87.0,2,1275.0
113,7th Phase JP Nagar,3,110.0,3,1650.0
114,7th Phase JP Nagar,2,42.0,2,850.0
115,7th Phase JP Nagar,3,117.0,3,1680.0
116,7th Phase JP Nagar,3,150.0,3,1850.0
117,7th Phase JP Nagar,2,61.33,2,1236.0
118,7th Phase JP Nagar,2,53.0,2,1000.0
119,7th Phase JP Nagar,3,125.0,3,1680.0
120,7th Phase JP Nagar,2,135.0,3,1675.0
121,7th Phase JP Nagar,2,59.0,2,1187.0
122,7th Phase JP Nagar,3,155.0,3,1850.0
123,7th Phase JP Nagar,2,61.0,2,1000.0
124,7th Phase JP Nagar,2,100.0,3,1460.0
125,7th Phase JP Nagar,3,110.0,3,1650.0
126,7th Phase JP Nagar,2,62.5,2,1200.0
127,7th Phase JP Nagar,2,70.65,2,1000.0
128,7th Phase JP Nagar,2,75.0,2,1080.0
129,7th Phase JP Nagar,3,125.0,3,1680.0
130,7th Phase JP Nagar,2,97.0,3,1460.0
131,7th Phase JP Nagar,2,65.0,2,1120.0
132,7th Phase JP Nagar,3,60.0,2,1100.0
133,7th Phase JP Nagar,3,120.0,3,1790.0
134,7th Phase JP Nagar,3,117.0,3,1680.0
135,7th Phase JP Nagar,2,77.0,2,1050.0
136,7th Phase JP Nagar,2,75.0,2,1050.0
137,7th Phase JP Nagar,2,75.0,2,1040.0
138,7th Phase JP Nagar,2,95.0,3,1400.0
139,7th Phase JP Nagar,3,130.0,3,1800.0
140,7th Phase JP Nagar,2,68.0,2,1050.0
141,7th Phase JP Nagar,2,60.0,2,1000.0
142,7th Phase JP Nagar,3,125.0,3,1680.0
143,7th Phase JP Nagar,2,77.47,2,1050.0
144,7th Phase JP Nagar,2,80.0,2,1270.0
145,7th Phase JP Nagar,3,122.0,3,1680.0
146,7th Phase JP Nagar,2,85.0,2,1130.0
147,7th Phase JP Nagar,3,130.0,3,1680.0
148,7th Phase JP Nagar,2,77.44,2,980.0
149,7th Phase JP Nagar,3,112.0,3,1680.0
150,7th Phase JP Nagar,3,150.0,3,2095.0
151,7th Phase JP Nagar,3,145.0,3,1976.0
152,7th Phase JP Nagar,2,110.0,3,1600.0
153,7th Phase JP Nagar,3,118.0,3,1765.0
154,7th Phase JP Nagar,2,88.0,3,1275.0
155,7th Phase JP Nagar,2,102.0,3,1450.0
156,7th Phase JP Nagar,2,110.0,3,1575.0
157,7th Phase JP Nagar,1,47.0,1,750.0
158,7th Phase JP Nagar,2,50.0,2,990.0
159,7th Phase JP Nagar,1,60.0,1,1000.0
160,7th Phase JP Nagar,2,102.0,3,1430.0
161,7th Phase JP Nagar,2,60.0,2,1128.0
162,7th Phase JP Nagar,2,57.0,2,1140.0
163,7th Phase JP Nagar,3,90.0,3,1420.0
164,7th Phase JP Nagar,2,108.0,2,1530.0
165,8th Phase JP Nagar,2,54.005,2,1073.5
166,8th Phase JP Nagar,1,29.9,1,451.0
167,8th Phase JP Nagar,2,42.47,2,1062.0
168,8th Phase JP Nagar,3,73.31,3,1455.0
169,8th Phase JP Nagar,2,55.0,2,871.0
170,8th Phase JP Nagar,2,43.91,2,1098.0
171,8th Phase JP Nagar,3,80.0,3,1800.0
172,8th Phase JP Nagar,4,130.0,4,2700.0
173,8th Phase JP Nagar,2,38.0,2,1080.0
174,8th Phase JP Nagar,2,34.5,2,1059.0
175,8th Phase JP Nagar,2,35.0,2,1080.0
176,8th Phase JP Nagar,2,42.47,2,1062.0
177,8th Phase JP Nagar,1,31.0,1,500.0
178,8th Phase JP Nagar,2,35.0,2,1100.0
179,8th Phase JP Nagar,4,92.0,4,2100.0
180,8th Phase JP Nagar,2,39.33,2,1035.0
181,8th Phase JP Nagar,2,40.9,2,909.0
182,8th Phase JP Nagar,3,72.02,3,1431.5
183,8th Phase JP Nagar,4,90.0,3,1900.0
184,8th Phase JP Nagar,1,30.0,1,500.0
185,8th Phase JP Nagar,2,36.94,2,1125.0
186,8th Phase JP Nagar,2,35.0,2,1100.0
187,8th Phase JP Nagar,2,43.55,2,1089.0
188,8th Phase JP Nagar,2,83.0,3,1504.0
189,8th Phase JP Nagar,4,115.0,4,2600.0
190,8th Phase JP Nagar,2,43.55,2,1089.0
191,8th Phase JP Nagar,2,62.0,2,1513.0
192,8th Phase JP Nagar,2,59.0,2,1298.0
193,8th Phase JP Nagar,2,44.0,2,1006.0
194,8th Phase JP Nagar,1,33.0,1,500.0
195,8th Phase JP Nagar,2,95.0,2,1160.0
196,8th Phase JP Nagar,2,59.0,2,1245.0
197,8th Phase JP Nagar,2,80.0,2,1510.0
198,8th Phase JP Nagar,3,165.0,3,3300.0
199,8th Phase JP Nagar,5,75.0,5,1730.0
200,8th Phase JP Nagar,2,48.0,2,1046.0
201,8th Phase JP Nagar,3,80.0,3,1408.0
202,9th Phase JP Nagar,2,50.0,2,1005.0
203,9th Phase JP Nagar,2,65.0,2,1100.0
204,9th Phase JP Nagar,2,37.0,2,1080.0
205,9th Phase JP Nagar,2,45.0,2,1035.0
206,9th Phase JP Nagar,4,290.0,4,5000.0
207,9th Phase JP Nagar,2,56.0,2,1164.0
208,9th Phase JP Nagar,2,42.0,2,1005.0
209,9th Phase JP Nagar,2,50.0,2,1127.0
210,9th Phase JP Nagar,2,43.0,2,1005.0
211,9th Phase JP Nagar,2,37.0,2,835.0
212,9th Phase JP Nagar,2,39.0,2,1050.0
213,9th Phase JP Nagar,2,27.0,2,660.0
214,9th Phase JP Nagar,1,20.0,1,600.0
215,9th Phase JP Nagar,2,71.0,2,1466.0
216,9th Phase JP Nagar,2,93.0,3,1890.0
217,9th Phase JP Nagar,2,60.0,2,1079.0
218,9th Phase JP Nagar,2,80.0,2,1480.0
219,9th Phase JP Nagar,2,80.0,2,1200.0
220,9th Phase JP Nagar,2,32.0,2,905.0
221,9th Phase JP Nagar,2,52.36,2,1073.0
222,9th Phase JP Nagar,2,88.0,3,1719.3
223,9th Phase JP Nagar,3,88.0,3,1780.0
224,9th Phase JP Nagar,3,90.0,3,1522.0
225,9th Phase JP Nagar,2,45.0,2,890.0
226,9th Phase JP Nagar,4,300.0,4,5000.0
227,9th Phase JP Nagar,2,35.0,2,1050.0
228,9th Phase JP Nagar,2,69.0,2,1331.95
229,AECS Layout,2,45.0,2,1100.0
230,AECS Layout,2,42.0,2,1028.0
231,AECS Layout,2,65.0,2,1199.0
232,AECS Layout,2,55.0,2,1080.0
233,AECS Layout,2,64.0,2,1123.0
234,AECS Layout,2,60.0,2,1308.0
235,AECS Layout,2,55.0,2,1005.0
236,Abbigere,2,40.39,2,985.0
237,Abbigere,6,68.0,6,2200.0
238,Abbigere,2,30.0,1,765.0
239,Abbigere,2,35.0,2,880.0
240,Abbigere,2,32.54,2,795.0
241,Abbigere,2,39.59,2,1005.0
242,Abbigere,1,19.82,1,734.0
243,Abbigere,2,41.82,2,1020.0
244,Abbigere,2,40.39,2,985.0
245,Abbigere,6,81.0,6,2500.0
246,Abbigere,2,32.54,2,795.0
247,Abbigere,2,46.33,2,1130.0
248,Abbigere,1,32.6,2,795.0
249,Abbigere,8,150.0,8,3000.0
250,Abbigere,2,38.92,2,985.0
251,Abbigere,2,41.0,2,1000.0
252,Abbigere,2,40.8,2,995.0
253,Abbigere,2,40.8,2,1020.0
254,Akshaya Nagar,2,57.0,2,1388.0
255,Akshaya Nagar,2,54.0,2,1070.0
256,Akshaya Nagar,2,58.0,2,1280.0
257,Akshaya Nagar,3,85.1,3,1662.0
258,Akshaya Nagar,3,120.0,3,1897.0
259,Akshaya Nagar,2,75.0,3,1410.0
260,Akshaya Nagar,2,85.0,3,1360.0
261,Akshaya Nagar,2,80.0,3,1410.0
262,Akshaya Nagar,3,85.0,3,1662.0
263,Akshaya Nagar,3,85.5,3,1662.0
264,Akshaya Nagar,2,60.0,2,1280.0
265,Akshaya Nagar,3,95.0,3,1666.0
266,Akshaya Nagar,3,90.0,3,1575.0
267,Akshaya Nagar,2,75.0,3,1430.0
268,Akshaya Nagar,2,73.0,3,1419.0
269,Akshaya Nagar,2,60.0,2,1280.0
270,Akshaya Nagar,2,50.0,2,1200.0
271,Akshaya Nagar,2,60.0,2,1092.0
272,Akshaya Nagar,3,85.0,3,1690.0
273,Akshaya Nagar,4,93.0,3,1897.0
274,Akshaya Nagar,3,98.0,3,1884.0
275,Akshaya Nagar,2,68.8,2,1314.0
276,Akshaya Nagar,3,85.0,3,1690.0
277,Akshaya Nagar,2,67.0,2,1265.0
278,Akshaya Nagar,2,55.0,2,1126.0
279,Akshaya Nagar,3,90.0,3,1662.0
280,Akshaya Nagar,2,75.0,3,1420.0
281,Akshaya Nagar,2,88.0,3,1412.0
282,Akshaya Nagar,3,84.0,3,1434.0
283,Akshaya Nagar,4,100.0,3,1890.0
284,Akshaya Nagar,2,87.0,3,1419.0
285,Akshaya Nagar,2,54.0,2,1300.0
286,Akshaya Nagar,3,85.0,3,1690.0
287,Akshaya Nagar,2,52.0,2,1113.0
288,Akshaya Nagar,4,95.0,3,1820.0
289,Akshaya Nagar,2,48.0,2,1100.0
290,Akshaya Nagar,3,102.0,3,1896.0
291,Akshaya Nagar,2,66.0,2,1300.0
292,Akshaya Nagar,2,68.0,2,1225.0
293,Akshaya Nagar,2,51.0,2,1179.0
294,Akshaya Nagar,2,73.0,3,1421.0
295,Akshaya Nagar,4,95.0,3,1893.0
296,Akshaya Nagar,2,45.0,2,900.0
297,Ambalipura,2,75.0,2,1105.0
298,Ambalipura,3,110.0,3,1800.0
299,Ambalipura,2,80.0,2,1150.0
300,Ambalipura,2,66.25,2,1250.0
301,Ambalipura,2,79.0,2,1332.0
302,Ambalipura,3,120.0,3,1730.0
303,Ambalipura,2,66.25,2,1230.0
304,Ambalipura,2,77.0,2,1351.0
305,Ambalipura,2,80.0,2,1303.0
306,Ambalipura,2,112.0,3,1607.0
307,Ambalipura,1,43.82,1,770.0
308,Ambalipura,2,76.0,2,1700.0
309,Ambalipura,2,58.5,2,1060.0
310,Ambalipura,3,100.0,3,1650.0
311,Ambalipura,2,112.0,3,1607.0
312,Ambalipura,2,80.0,2,1198.0
313,Ambedkar Nagar,4,130.0,3,1935.0
314,Ambedkar Nagar,2,90.0,2,1424.0
315,Ambedkar Nagar,4,169.0,3,2225.0
316,Ambedkar Nagar,3,120.0,3,1862.0
317,Ambedkar Nagar,4,139.0,3,1850.0
318,Ambedkar Nagar,4,126.0,3,1936.0
319,Ambedkar Nagar,3,119.0,3,1862.0
320,Ambedkar Nagar,2,90.0,2,1424.0
321,Ambedkar Nagar,4,125.0,3,2150.0
322,Ambedkar Nagar,4,290.0,4,3530.0
323,Ambedkar Nagar,3,120.0,3,1856.0
324,Ambedkar Nagar,3,130.0,3,1852.0
325,Ambedkar Nagar,4,120.0,3,1850.0
326,Ambedkar Nagar,2,86.0,2,1367.0
327,Ambedkar Nagar,4,255.0,4,3565.0
328,Ambedkar Nagar,2,95.0,2,1409.0
329,Ambedkar Nagar,4,120.0,3,1950.0
330,Ambedkar Nagar,4,129.0,3,1921.0
331,Ambedkar Nagar,4,121.0,3,1920.0
332,Ambedkar Nagar,4,125.0,3,1935.0
333,Ambedkar Nagar,4,122.0,3,1852.0
334,Ambedkar Nagar,4,120.0,3,1950.0
335,Ambedkar Nagar,3,125.0,3,1852.0
336,Ambedkar Nagar,4,121.0,3,1850.0
337,Ambedkar Nagar,2,94.0,2,1425.0
338,Ambedkar Nagar,4,150.0,3,2395.0
339,Amruthahalli,2,40.0,2,900.0
340,Amruthahalli,2,55.0,2,1200.0
341,Amruthahalli,3,135.0,3,1900.0
342,Amruthahalli,2,45.0,2,924.0
343,Amruthahalli,2,60.0,2,900.0
344,Amruthahalli,2,45.0,2,1100.0
345,Amruthahalli,2,55.0,2,1200.0
346,Amruthahalli,2,85.0,3,1450.0
347,Amruthahalli,2,55.0,2,1200.0
348,Amruthahalli,2,79.0,2,1250.0
349,Amruthahalli,2,50.0,2,1190.0
350,Amruthahalli,2,65.0,2,1202.0
351,Amruthahalli,2,75.0,2,1340.0
352,Amruthahalli,4,175.0,3,2650.0
353,Amruthahalli,2,90.0,3,1450.0
354,Amruthahalli,2,42.0,2,1025.0
355,Amruthahalli,1,19.5,1,485.0
356,Anandapura,2,43.76,2,1167.0
357,Anandapura,2,55.0,2,1000.0
358,Anandapura,2,42.79,2,1141.0
359,Anandapura,2,67.0,2,1200.0
360,Anandapura,2,58.0,2,1200.0
361,Anandapura,2,43.1,2,1151.0
362,Anandapura,2,42.75,2,1141.0
363,Anandapura,2,48.0,2,900.0
364,Anandapura,4,90.0,4,1749.0
365,Anandapura,2,42.9,2,1151.0
366,Anandapura,2,45.0,2,1250.0
367,Anandapura,2,43.16,2,1151.0
368,Anandapura,2,58.0,2,1200.0
369,Anandapura,2,66.0,3,1200.0
370,Anandapura,2,74.0,3,1415.0
371,Anandapura,2,50.0,2,1200.0
372,Anandapura,2,50.0,2,1141.0
373,Ananth Nagar,1,14.0,1,500.0
374,Ananth Nagar,2,31.5,2,1100.0
375,Ananth Nagar,2,24.55,2,982.0
376,Ananth Nagar,2,14.0,1,500.0
377,Ananth Nagar,2,22.5,2,900.0
378,Ananth Nagar,2,26.0,2,908.0
379,Ananth Nagar,2,36.0,2,870.0
380,Ananth Nagar,2,35.0,2,937.0
381,Ananth Nagar,2,37.0,2,960.0
382,Ananth Nagar,1,14.0,1,500.0
383,Ananth Nagar,2,29.7,2,1000.0
384,Ananth Nagar,2,25.99,2,850.0
385,Ananth Nagar,2,25.26,2,902.0
386,Ananth Nagar,3,54.0,3,1470.0
387,Ananth Nagar,2,25.5,2,810.0
388,Ananth Nagar,2,27.0,2,890.0
389,Ananth Nagar,2,36.0,2,1200.0
390,Ananth Nagar,3,42.0,3,1319.0
391,Ananth Nagar,2,25.0,2,1000.0
392,Ananth Nagar,2,25.0,2,902.0
393,Ananth Nagar,2,25.99,2,930.0
394,Ananth Nagar,2,26.85,2,1074.0
395,Ananth Nagar,1,14.0,1,500.0
396,Ananth Nagar,2,38.0,2,1010.0
397,Ananth Nagar,2,24.8,2,992.0
398,Anekal,2,22.0,2,656.0
399,Anekal,2,22.0,2,620.0
400,Anekal,1,16.5,1,600.0
401,Anekal,2,40.0,2,925.0
402,Anekal,1,18.0,1,530.0
403,Anekal,3,68.0,3,1800.0
404,Anekal,1,16.0,1,351.0
405,Anekal,2,38.3,2,1035.0
406,Anekal,2,34.0,2,888.0
407,Anekal,2,36.0,4,1200.0
408,Anekal,2,28.0,2,766.0
409,Anekal,2,45.0,3,967.0
410,Anekal,1,23.5,2,620.0
411,Anekal,3,45.0,3,1150.0
412,Anekal,1,11.5,1,400.0
413,Anekal,1,15.0,1,456.0
414,Anekal,4,95.0,3,2400.0
415,Anekal,1,12.5,1,420.0
416,Anekal,1,28.0,2,614.0
417,Anekal,2,52.0,2,1140.0
418,Anekal,1,25.0,2,625.0
419,Anjanapura,4,86.0,4,1850.0
420,Anjanapura,2,39.0,2,1070.0
421,Anjanapura,3,121.0,3,1500.0
422,Anjanapura,2,37.0,2,1070.0
423,Anjanapura,2,40.0,2,950.0
424,Anjanapura,2,45.0,3,1280.0
425,Anjanapura,2,25.0,2,710.0
426,Anjanapura,2,32.0,2,950.0
427,Anjanapura,4,55.0,4,1800.0
428,Anjanapura,3,87.54,3,1843.0
429,Anjanapura,2,30.13,2,1076.0
430,Anjanapura,2,30.0,2,950.0
431,Ardendale,3,100.0,3,1750.0
432,Ardendale,4,200.0,4,3198.0
433,Ardendale,4,160.0,4,2422.0
434,Ardendale,3,100.0,3,1750.0
435,Ardendale,4,205.0,4,3200.0
436,Ardendale,3,95.0,3,1728.0
437,Ardendale,3,140.0,4,2062.0
438,Ardendale,3,92.0,3,1732.46
439,Ardendale,3,150.0,4,2062.0
440,Ardendale,2,70.0,2,1224.0
441,Ardendale,3,105.0,3,1777.26
442,Ardendale,3,82.0,3,1650.0
443,Ardendale,3,140.0,4,2062.0
444,Ardendale,3,82.0,3,1650.0
445,Ardendale,2,67.0,2,1224.0
446,Ardendale,3,95.0,3,1723.0
447,Ardendale,3,89.0,3,1777.26
448,Ardendale,3,92.0,3,1777.26
449,Arekere,3,140.0,3,2060.0
450,Arekere,2,40.0,2,920.0
451,Arekere,2,95.0,3,1740.0
452,Arekere,2,55.0,2,1190.0
453,Arekere,1,28.0,1,600.0
454,Arekere,3,108.0,3,2072.0
455,Arekere,2,55.0,2,1100.0
456,Arekere,2,50.0,2,900.0
457,Arekere,2,60.0,2,1240.0
458,Arekere,2,44.5,2,900.0
459,Attibele,1,11.0,1,450.0
460,Attibele,4,52.8,4,1600.0
461,Attibele,2,25.0,2,656.0
462,Attibele,1,11.0,1,400.0
463,Attibele,1,12.0,1,400.0
464,Attibele,1,14.0,1,400.0
465,Attibele,1,17.0,1,500.0
466,Attibele,4,95.0,4,2168.0
467,Attibele,1,10.25,1,395.0
468,Attibele,1,17.0,1,420.0
469,Attibele,1,12.0,1,418.0
470,Attibele,2,42.0,2,1200.0
471,Attibele,1,10.0,1,400.0
472,Attibele,1,25.0,2,695.0
473,Attibele,1,25.0,2,850.0
474,Attibele,3,120.0,3,2400.0
475,Attibele,1,12.5,1,450.0
476,Attibele,1,19.55,1,782.0
477,Attibele,2,25.0,2,656.0
478,Attibele,1,11.5,1,400.0
479,Attibele,1,13.0,1,460.0
480,Attibele,2,11.5,1,418.0
481,Attibele,2,42.0,2,1000.0
482,Attibele,1,11.5,1,550.0
483,Attibele,1,10.0,1,410.0
484,Attibele,3,65.0,3,1700.0
485,Attibele,1,10.25,1,400.0
486,Attibele,2,25.0,2,656.0
487,Attibele,3,90.0,3,1500.0
488,Attibele,1,15.0,1,520.0
489,BEML Layout,2,55.0,2,1060.0
490,BEML Layout,2,45.0,2,999.0
491,BEML Layout,4,225.0,5,2400.0
492,BEML Layout,2,65.0,2,1194.0
493,BEML Layout,2,67.0,2,1200.0
494,BEML Layout,2,228.0,2,2400.0
495,BEML Layout,2,65.0,2,1194.0
496,BTM 2nd Stage,2,52.0,2,950.0
497,BTM 2nd Stage,3,170.0,3,1850.0
498,BTM 2nd Stage,2,80.0,2,1200.0
499,BTM 2nd Stage,2,70.0,2,1274.0
500,BTM 2nd Stage,2,48.0,2,1070.0
501,BTM 2nd Stage,2,80.0,2,1280.0
502,BTM 2nd Stage,2,70.0,2,1100.0
503,BTM 2nd Stage,2,58.0,2,1000.0
504,BTM 2nd Stage,5,416.0,5,2990.0
505,BTM 2nd Stage,2,55.0,2,1265.0
506,BTM 2nd Stage,3,220.0,3,2200.0
507,BTM 2nd Stage,4,325.0,3,2780.0
508,BTM 2nd Stage,2,360.0,3,2400.0
509,BTM 2nd Stage,2,56.0,2,965.0
510,BTM 2nd Stage,2,75.0,2,1147.0
511,BTM 2nd Stage,3,172.0,3,1750.0
512,BTM 2nd Stage,2,90.0,2,1400.0
513,BTM 2nd Stage,2,70.0,2,1200.0
514,BTM 2nd Stage,2,47.0,2,1100.0
515,BTM 2nd Stage,2,46.0,2,930.0
516,BTM 2nd Stage,3,345.0,3,2500.0
517,BTM Layout,2,63.0,2,1150.0
518,BTM Layout,6,165.0,6,3300.0
519,BTM Layout,2,81.0,3,1450.0
520,BTM Layout,2,75.0,3,1776.0
521,BTM Layout,3,79.0,3,1458.0
522,BTM Layout,2,51.5,2,935.0
523,BTM Layout,2,46.5,2,1020.0
524,BTM Layout,3,112.0,3,1600.0
525,BTM Layout,2,75.0,3,1300.0
526,BTM Layout,2,78.0,3,1540.0
527,BTM Layout,1,20.0,1,450.0
528,BTM Layout,2,56.81,2,1196.0
529,BTM Layout,2,99.0,3,1470.0
530,Babusapalaya,2,66.0,3,1611.0
531,Babusapalaya,3,75.0,3,1675.0
532,Babusapalaya,2,46.0,2,1141.0
533,Babusapalaya,2,57.0,2,1500.0
534,Babusapalaya,2,45.0,2,1050.0
535,Babusapalaya,2,45.9,2,1141.0
536,Babusapalaya,3,53.0,3,1230.0
537,Babusapalaya,2,40.0,2,1105.0
538,Babusapalaya,2,65.0,3,1410.0
539,Babusapalaya,2,55.99,2,1450.0
540,Babusapalaya,2,38.0,2,1100.0
541,Babusapalaya,2,33.84,2,1061.0
542,Babusapalaya,2,38.95,2,1061.0
543,Babusapalaya,2,34.0,2,1061.0
544,Babusapalaya,2,58.0,2,1245.0
545,Badavala Nagar,2,94.55,3,1494.0
546,Badavala Nagar,2,81.0,2,1274.0
547,Badavala Nagar,3,115.0,3,1842.0
548,Badavala Nagar,2,94.55,3,1494.0
549,Badavala Nagar,2,81.0,2,1274.0
550,Badavala Nagar,2,94.55,3,1494.0
551,Badavala Nagar,3,115.0,3,1842.0
552,Badavala Nagar,3,115.0,3,1842.0
553,Badavala Nagar,3,115.0,3,1842.0
554,Balagere,2,80.9,2,1210.0
555,Balagere,2,72.0,2,1210.0
556,Balagere,2,78.5,2,1205.0
557,Balagere,1,41.9,1,790.5
558,Balagere,2,68.38,2,1020.07
559,Balagere,2,81.0,2,1205.47
560,Balagere,2,65.0,2,1007.0
561,Balagere,2,74.0,2,1210.0
562,Balagere,2,83.0,2,1210.0
563,Balagere,1,45.0,1,675.0
564,Balagere,1,43.0,1,656.0
565,Balagere,2,64.0,2,1012.0
566,Balagere,2,62.0,2,1007.0
567,Balagere,2,67.0,2,1007.0
568,Balagere,2,66.0,2,1007.0
569,Balagere,1,34.18,1,645.0
570,Balagere,1,42.295,1,790.5
571,Balagere,2,65.0,2,1012.0
572,Balagere,1,38.77,1,656.0
573,Balagere,1,39.0,1,645.0
574,Balagere,1,41.0,1,645.0
575,Balagere,2,82.0,2,1210.0
576,Balagere,1,34.77,1,656.0
577,Balagere,2,73.87,2,1205.0
